,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len
298,698,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,13,"An attempt has been made for some time at Hitchin to intercept the solid matter of the sewage in a series of reservoirs and open pits at the outfall of the new drainage works , without any means of deodorizing , or arrangements for precipitating , straining , or filtering .",deodorizing,Olfactive,Smell\_Word,51
299,699,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,21,"As so much disagreement prevails with respect to the deodorizing power of peat charcoal , Mr .",of peat charcoal deodorizing,Olfactive,Smell\_Source,17
300,701,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,26,It appears that neither of these substances has much deodorizing power when mixed with liquid .,these substances deodorizing,Olfactive,Smell\_Source,16
301,703,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,27,"When heated after saturation they both gave off offensive effluvia in abundance , but , when spread over the surface of offensive matter , the escape of all odour was prevented .",offensive they offensive matter effluvia odour,Olfactive,Quality,32
302,706,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,4,"Burns , the local Surveyor of Ely , having , as early as 1834 , made some successful experiments in treating gas water with clay , was induced recently to apply it , in conjunction with lime , for deodorizing the sewage , on completion of the drainage works of Ely .",clay in conjunction with lime deodorizing,Olfactive,Smell\_Source,52
303,708,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,6,At the time of my visit the place was certainly quite free from offensive smell ; but the collecting tank has not yet been opened to try the effect of the manure .,offensive smell,Olfactive,Quality,33
304,710,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,7,"It is found that one ton of clay is sufficient to deodorize 600 tons of sewage as at present discharged at Ely ; but , as only a portion of the houses have waterclosets as yet , the liquid is comparatively weak .",one ton of clay deodorize,Olfactive,Smell\_Source,43
305,712,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,10,"The smell of ozaena is , in fact , very similar to that observed in examples of fetid fibroid vomicai ; and M .",of ozaena smell,Olfactive,Smell\_Source,24
306,714,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,100,"The odour itself is a sufficient proof , independently of distillations of sputa at a temperature of 230 ° Fahr . ; and I may add that ordinary pulmonary vapour itself , if collected and kept a while , quickly becomes fetid , and even the condensed vapours on the windows of rooms crowded with people smells offensively although the highest temperature cannot exceed 90 ° .",offensively ordinary pulmonary vapour the condensed vapours odour fetid smells,Olfactive,Quality,67
307,717,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,101,"Dr Gamgee has , however , demonstrated , what was already plain enough to all acquainted with the facts , that we can get stinks from any pulmonary excretion whatever , if we subject them to the same chemical torments of distillation , acidification , neutralization , redistillation , and the like .",from any pulmonary excretion stinks,Olfactive,Smell\_Source,53
308,719,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,102,"This fact is no ground , however , for the conclusions , that there is nothing special in the odour of fetid bronchitis or its causes , and that we must abandon that term as perplexing , unscientific , and unphilosophical , for the more correct phrase 	_	_	_	
102-49	16963-16973	bronchitis	_	_	_	
102-50	16974-16978	with	_	_	_	
102-51	16979-16984	fetid	Smell\_Word[130]|Quality[131]	*|*	102-51[131_130]|102-52[0_130]	
102-52	16985-16998	expectoration	Smell\_Source	_	_	
102-53	16998-16999	.	_	_	_	
102-54	16999-17000	",of fetid bronchitis odour,Olfactive,Smell\_Source,82
309,721,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,11,Lasagne correctly remarks the same of the fetor in fetid bronchitis .,bronchitis fetor fetid,Olfactive,Smell\_Source,12
310,723,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,14,The smell might well be termed an ozaena-odour .,an ozaena-odour smell,Olfactive,Smell\_Source,9
311,725,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,15,The Nature and Origin of the Pulmonary Fetor in Fetid Bronchitis and Bronchorrhoea .,Pulmonary Bronchitis Bronchorrhoea Fetor Fetid,Olfactive,Quality,14
312,728,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,16,"In the last group of cases I have endeavoured to show that the peculiar fetor is probably similar in origin to ozaena ; but it is not like that odour in all cases ; nor will the explanation apply to the fetor of acute and chronic bronchitis , or of bronchorrhoea , or broncho-pneumonia , for tliere is no proof of a rodent ulcerous cavity in these .",is probably similar in origin to ozaena that peculiar of acute and chronic bronchitis of bronchorrhoea broncho-pneumonia fetor odour fetor,Olfactive,Evoked\_Odorant,68
313,732,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,17,"Now , it is to be observed that the odour is sui generis in them , as compared with other pulmonary fetors , and has therefore its own characters . 1 .",sui generis pulmonary odour fetors,Olfactive,Quality,32
314,734,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,19,"In the first case that I observed , the breath and sputa rendered a spacious ward odious as a privy , with the stench of fresh foeces .",of fresh foeces stench,Olfactive,Smell\_Source,28
315,736,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,21,Now this is not the odour of the breath in cases of fetid abscess or ozaena . 2 .,of the breath abscess ozaena odour fetid,Olfactive,Smell\_Source,19
316,738,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,22,"After the sputa has been exposed to the air for a while , however , it gives off an odour wholly different .",wholly different odour,Olfactive,Quality,23
317,740,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,23,In my first case I could only liken it to the delicate scent of a decaying apple . - In the case of Oliver S .,delicate of a decaying apple scent,Olfactive,Quality,26
318,743,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,24,"( reported by my friend Dr Low of King ' s Lynn , together with my clinical remarks ) , the breath and sputa were noted as of an odour 	Quality[30]	_	_	
24-32	3382-3388	rather	Quality[30]	_	_	
24-33	3389-3395	faecal	Quality[30]	_	_	
24-34	3396-3400	than	Quality[30]	_	_	
24-35	3401-3411	gangrenous	Quality[30]	_	_	
24-36	3411-3412	;	Quality[30]	_	_	
24-37	3412-3413	 while that of the sputa became like the scent of the apple or hawthorn blossom .","of the apple hawthorn blossom 	Quality[30]	_	_	
24-32	3382-3388	rather	Quality[30]	_	_	
24-33	3389-3395	faecal	Quality[30]	_	_	
24-34	3396-3400	than	Quality[30]	_	_	
24-35	3401-3411	gangrenous	Quality[30]	_	_	
24-36	3411-3412	;	Quality[30]	_	_	
24-37	3412-3413	 breath sputa of the sputa odour that scent",Olfactive,Evoked\_Odorant,81
319,747,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,26,"A . , the sputum is correctly described as 	_	_	_	
26-11	3560-3562	of	_	_	_	
26-12	3563-3564	a	_	_	_	
26-13	3565-3578	muco-purulent	_	_	_	
26-14	3579-3588	character	_	_	_	
26-15	3588-3589	,	_	_	_	
26-16	3590-3594	with	_	_	_	
26-17	3595-3596	a	_	_	_	
26-18	3597-3609	disagreeable	Quality	_	_	
26-19	3610-3616	faecal	Quality	_	_	
26-20	3617-3622	odour	Smell\_Word	*|*|*	26-19|26-18|26-4[34_0]	
26-21	3622-3623	,	_	_	_	
26-22	3624-3629	which	Smell\_Word	Anaphoric|*|*	26-20|26-24[35_0]|26-26[36_0]	
26-23	3630-3632	is	_	_	_	
26-24	3633-3637	most	Quality[35]	_	_	
26-25	3638-3645	intense	Quality[35]	_	_	
26-26	3646-3650	when	Circumstances[36]	_	_	
26-27	3651-3655	just	Circumstances[36]	_	_	
26-28	3656-3668	expectorated	Circumstances[36]	_	_	
26-29	3668-3669	,	_	_	_	
26-30	3670-3673	and	_	_	_	
26-31	3674-3679	which	Smell\_Word	Anaphoric|*|*	26-20|26-33[37_0]|26-41	
26-32	3679-3680	,	_	_	_	
26-33	3681-3683	on	Circumstances[37]	_	_	
26-34	3684-3692	standing	Circumstances[37]	_	_	
26-35	3693-3700	exposed	Circumstances[37]	_	_	
26-36	3701-3703	to	Circumstances[37]	_	_	
26-37	3704-3707	the	Circumstances[37]	_	_	
26-38	3708-3711	air	Circumstances[37]	_	_	
26-39	3711-3712	,	_	_	_	
26-40	3713-3720	becomes	_	_	_	
26-41	3721-3728	changed	Quality	_	_	
26-42	3728-3729	,	_	_	_	
26-43	3730-3731	—	_	_	_	
26-44	3732-3741	sometimes	Time	_	_	
26-45	3742-3746	into	_	_	_	
26-46	3747-3748	a	Evoked\_Odorant[38]	_	_	
26-47	3749-3759	wet-mortar	Evoked\_Odorant[38]	_	_	
26-48	3760-3765	smell	Smell\_Word	*|*|*	26-44|26-46[38_0]|26-56	
26-49	3765-3766	,	_	_	_	
26-50	3767-3770	but	_	_	_	
26-51	3771-3775	more	_	_	_	
26-52	3776-3785	generally	_	_	_	
26-53	3786-3790	into	_	_	_	
26-54	3791-3795	what	_	_	_	
26-55	3796-3805	simulates	_	_	_	
26-56	3806-3819	apple-blossom	Evoked\_Odorant	_	_	
26-57	3820-3824	very	_	_	_	
26-58	3825-3832	closely	_	_	_	
26-59	3832-3833	.	_	_	_	
26-60	3833-3834	",the sputum,Olfactive,Smell\_Source,308
320,748,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,27,"Now , in these characteristics the odour of fetid bronchitis differs essentially from that of fetid abscess and of true pulmonary gangrene .",of fetid bronchitis of fetid abscess odour that,Olfactive,Smell\_Source,23
321,750,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,28,"In the case of pulmonary gangi-ene with which I compared my first example of fetid bronchitis , the breath was so horrible that I was made sick to vomiting when using tlie stethoscope .",fetid bronchitis,Olfactive,Quality,34
322,752,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,3,"We may look upon the fetid cavity , therefore , as consecutive to those fibroid degenerations , just as in ordinary phthisis a vomica is consecutive to tuberculization .",cavity fetid,Olfactive,Smell\_Source,29
323,754,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,30,All writers speak of this dreadful smeii in true pulmonary gangrene ; but none ever describe it as faecal except Louis .,dreadful faecal smeii it,Olfactive,Quality,22
324,756,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,32,"Valleix that he had observed exceptions to this hon-ible putrid smell in certain cases , in which the odour resembled that of feces , although after death there was nothing more observed in the lung than what is usually found .",resembled that of feces hon-ible putrid smell odour,Olfactive,Evoked\_Odorant,41
325,759,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,33,"I suspect , however , that these cases were examples of pyogenic cavities , or dilated bronchi , and not gangrene ; for it is probable these pyogenic membranes give forth the same purulent stuff as the bronchial mucous membrane in cases of fetid bronchitis .",bronchitis fetid,Olfactive,Smell\_Source,46
326,761,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,34,"Dr EUiotson remarks incidentally , that in phthisis the expectoration sometimes smells 	_	_	_	
34-14	4897-4901	like	Evoked\_Odorant[53]	_	_	
34-15	4902-4908	fasces	Evoked\_Odorant[53]	_	_	
34-16	4908-4909	.	_	_	_	
34-17	4909-4910	",the expectoration smells,Olfactive,Smell\_Source,35
327,763,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,35,"I must express a doubt , however , that these were cases of tubercular phthisis , for I have never observed the faecal odour in any such cases .",faecal odour,Olfactive,Quality,29
328,765,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,36,"Although fetid pus is not uncommon , pulmonary fetor , sui generis , is by no means a common symptom .",not uncommon pulmonary pus fetid fetor,Olfactive,Quality,21
329,768,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,38,"It follows , from these facts , that there are three distinct kinds of pulmonary fetor , namely , that of faces , that of ozaena , and that of gangrene ; and it remains to ascertain how each arises .",pulmonary of faces of ozaena of gangrene fetor,Olfactive,Quality,41
330,771,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,39,The odour of pulmonary gangrene is obviously due to putrescent decomposition of the dead pulmonary tissue ; it is the odour of putrefaction .,of pulmonary gangrene of putrefaction odour odour,Olfactive,Smell\_Source,24
331,773,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,49,"The bacterides may , however , be a cause of those kinds in wliich the gangrenous cavity has no contact with the external air and there is no fetor , inasmuch as they are abundantly present in the blood in carbuncular gangrene , and which sometimes affects the lungs .",the gangrenous cavity fetor,Olfactive,Smell\_Source,50
332,775,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,50,"Since Laennec first mooted the opinion , the ozena-odour in certain forms of bronchorrhoea and bronchitis has been attributed by several observers to a putrescence of the bronchial excretions .",ozena-odour,Olfactive,Smell\_Word,30
333,776,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,52,"Besides , the odour evolved is not at all like that of the fetid pus expectorated in cases of empyema , in which the cavity communicates with a bronchus , so that if the purulent bronchial excretion do undergo change , there must be something in its composition in these cases of a special character .",of the fetid pus odour,Olfactive,Smell\_Source,56
334,778,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,54,"In ozaena from ulceration of the nasal cartilages , and in rodent fibroid ulcers , there is a most offensive discharge , but the odour is not like the smell of decomposing pus from ordinary ulcers .",is not like the smell of decomposing pus from ordinary ulcers odour,Olfactive,Evoked\_Odorant,37
335,780,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,55,The pus of fibroid pyogenic cavities and of fetid bronchitis undergoes a similar change .,bronchitis fetid,Olfactive,Smell\_Source,15
336,782,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,58,"In so far as anatomical changes have been observed in these fetid pulmonary diseases , they are manifestly those of fibrinous exudation and degeneration , — are , in short , those which are observed in acute and chronic tissue-changes of rheumatic origin .",pulmonary diseases fetid,Olfactive,Smell\_Source,44
337,784,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,66,"That a rheumatic condition is an important element in these cases is shown by collateral evidence , although the morbid product need not necessarily be lactic acid , and certainly is not in all cases of pulmonary fetor .",pulmonary fetor,Olfactive,Quality,39
338,786,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,68,"Now these cases of 	_	_	_	
68-6	11162-11169	plastic	_	_	_	
68-7	11170-11180	bronchitis	_	_	_	
68-8	11181-11182	 run a course almost identical with that of cases of fetid bronchopneumonia .",bronchopneumonia fetid,Olfactive,Smell\_Source,34
339,788,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,7,"Since the structural disease is constitutional , it is fair to conclude that the predisposing causes of the peculiar fetid excretion are constitutional , and are linked etiologically with the fibroid change of tissue .",peculiar excretion fetid,Olfactive,Quality,35
340,791,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,73,"These cases of plastic bronchitis shade off also into that special kind of lobar bronchopneumonia , closely resembling the fetid kind in symptoms and course , and occurring in rheumatic subjects , to wliicli I liave already referred .",special kind of lobar bronchopneumonia fetid,Olfactive,Smell\_Source,39
341,793,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,75,"The patient ( a man ) has had profuse stronglysmelling sweats , like those of the . rheumatic , and rheumatic corpuscles in his urine .",sweats stronglysmelling,Olfactive,Smell\_Source,26
342,795,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,76,"Fetor of the breath closely resembling that under consideration is observed in pregnancy , scorbutus , and cachectic states of a rheumatic character ; in all these the blood is highly fibrinous and embolism not uncommon .",of the breath Fetor,Olfactive,Smell\_Source,37
343,797,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,79,"But , however caused , the excess of fibrin is probably a predisposing or exciting cause of the fetor .",fetor,Olfactive,Smell\_Word,20
344,798,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,8,It is a special characteristic of fibroid and cartilaginous ulcerations to be fetid .,fibroid and cartilaginous ulcerations fetid,Olfactive,Smell\_Source,14
345,800,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,80,These remarks refer chiefly to cases of pulmonary fetor in which changes of structure have been observed .,pulmonary fetor,Olfactive,Quality,18
346,802,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,81,"But in one class of these affections there is no cognisable disease , and yet a very characteristic odour ( the faecal ) is exhaled .",very characteristic faecal odour,Olfactive,Quality,26
347,804,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,83,In offensive perspiration of the feet a peculiar cabbage-like stench is given off .,a peculiar cabbage-like stench offensive perspiration of the feet,Olfactive,Evoked\_Odorant,14
348,807,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,84,"It has been roundly asserted that this is due simply to want of cleanliness , just as the stench of fetid bronchitis has been attributed to gangrene ; but the theory is certainly not sound .",of fetid bronchitis stench,Olfactive,Smell\_Source,36
349,809,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,85,Cases occur in which the most scrupulous cleanliness fails to prevent the smell .,smell,Olfactive,Smell\_Word,14
350,810,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,86,"Indeed , I know no more intractable malady , for even when the stockings and shoes are changed two or three times a-day and powerful scents used , the morbid stench is still diffused .",morbid stench,Olfactive,Quality,35
351,812,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,88,I have been informed that a surgeon in extensive practice in the north of England committed suicide a few years ago because of this offensive malady .,malady offensive,Olfactive,Smell\_Source,27
352,814,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,91,"Allied to this is the offensive odour in some forms of rheumatic fever and in cases of acute recuiTcnt attacks of leprous inflammation of the skin , in which the paroxysm terminates by a copious plastic exudation into the cutaneous cellular tissue .",offensive odour,Olfactive,Quality,43
353,816,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,92,The urine sometimes becomes fetid in like manner .,The urine fetid,Olfactive,Smell\_Source,9
354,818,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,94,"Speculations have naturally arisen as to the immediate origin and composition of the volatile matter which causes the stench ; and as the blood is easily impregnated with volatile stuff , it is readily concluded that it comes from the blood .",the volatile matter the blood stench impregnated,Olfactive,Smell\_Source,42
355,820,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,95,"Perhaps it may be so as to some ; but I think it equally probable as to others , that they first become what we find them on exposure to the air in the lungs at a blood-heat , or on the surface of the body , as in cases of fetid perspiration .",perspiration fetid,Olfactive,Smell\_Source,54
356,822,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,96,The change in smell which the fetid sputa undergo on exposure to the air shows how easily decomposition takes place .,fetid sputa smell,Olfactive,Quality,21
357,825,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,97,"Possibly the faecal odour may be an excretion , but if it were so in my first observed case , it did not originate in any so-called metastasis , for I noted the state of the faeces as to odour and observed no change .",faecal an excretion the faeces odour odour,Olfactive,Quality,45
358,828,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,98,"Pus from abscesses in the abdominal parietes has been found to be highly faecal in smell , although the most careful examination failed to detect any connexion between the abscess and the intestines .",highly faecal Pus from abscesses smell,Olfactive,Quality,34
359,831,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,99,"I have no doubt that sulphur is a predominant , albeit not exclusive constituent of these fetid volatile changes .",sulphur fetid,Olfactive,Smell\_Source,20
360,833,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,103,Oil of Lemon .,Oil of Lemon,Olfactive,Smell\_Source,4
361,834,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,105,"Pale yellow , with a very fragrant odour and a warm bitterish aromatic taste .",very fragrant odour,Olfactive,Quality,15
362,836,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,107,OLEUM LINL Linseed Oil .,Linseed Oil,Olfactive,Smell\_Source,5
363,837,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,109,"Viscid , yellow , with a faint odour , and bland oleaginous taste .",faint odour,Olfactive,Quality,14
364,839,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,116,"Colourless , pale yellow , or greenish-yellow when recent , but becoming gradually thicker and reddish by age , with the odour of peppermint , and a strong penetrating aromatic taste , followed by a sensation of coldness in the mouth .",of peppermint odour,Olfactive,Smell\_Source,42
365,841,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,12,The oil distilled in Europe from anise fruit ; or in China from star-anise fruit .,from star-anise fruit,Olfactive,Smell\_Source,16
366,842,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,121,Oil of Spearmint .,Oil of Spearmint,Olfactive,Smell\_Source,4
367,843,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,125,"Colourless , pale yellow , or greenish-yellow Vv ^ hen recent , but becoming reddish by age , with the odour and taste of the herb .",odour,Olfactive,Smell\_Word,27
368,844,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,129,Olive Oil .,Olive Oil,Olfactive,Smell\_Source,3
369,845,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,13,"Colourless or very pale yellow ; with the odour of the fruit , and an aromatic sweetish taste .",odour,Olfactive,Smell\_Word,19
370,846,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,133,"Pale yellow or greenish-yellow , with a very faint agreeable odour and a bland oleaginous taste ; congeals partially at about Fahr . ( 2.2 ° C ) .",very faint agreeable odour,Olfactive,Quality,29
371,848,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,18,The oil distilled in Britain from chamomile flowers .,from chamomile flowers,Olfactive,Smell\_Source,9
372,849,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,19,"Pale blue or greenish-blue , but gradually becoming yellowish brown ; with the peculiar aromatic taste and odour of the flowers .",odour,Olfactive,Smell\_Word,22
373,850,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,22,Oil of Cajupnt .,Oil of Cajupnt,Olfactive,Smell\_Source,4
374,851,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,26,"A transparent limpid very volatile pale bluish-green liquid , with a strong penetrating agreeable camphoraceous odour , and a warm bitterish aromatic camphoraceous taste succeeded by a sensation of coldness in the mouth .",strong penetrating agreeable camphoraceous odour,Olfactive,Quality,34
375,853,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,31,The oil distilled in Britain from caraway fruit .,from caraway fruit,Olfactive,Smell\_Source,9
376,854,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,32,"Colourless or pale yellow when recent , but gradually becoming darker , with the odour of the fruit , and a spicy somewhat acrid taste .",odour,Olfactive,Smell\_Word,26
377,855,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,37,"Colourless or pale yellow when recent , but gradually becoming reddish-brown , having in a high degree the odour and taste of cloves .",of cloves odour,Olfactive,Smell\_Source,24
378,857,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,43,"Yellowish when recent , but gradually becoming cherry-red , having the odour and taste of cinnamon bark .",of cinnamon bark odour,Olfactive,Smell\_Source,18
379,859,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,50,"Colourless or pale yellow , with the odour and taste of copaiva .",of copaiva odour,Olfactive,Smell\_Source,13
380,861,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,54,The oil distilled in Britain from coriander fruit .,from coriander fruit,Olfactive,Smell\_Source,9
381,862,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,55,"Pale yellow or colourless , having the odour of the fruit and a mild aromatic taste .",odour,Olfactive,Smell\_Word,17
382,863,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,58,Croton Oil .,Croton Oil,Olfactive,Smell\_Source,3
383,864,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,62,"Brownish-yellow to dark reddish-brown , fluorescent , with a viscid consistence which is increased by age , a faint , peculiar , somewhat rancid , disagreeable odour , and an oily acrid taste .",faint peculiar somewhat rancid disagreeable odour,Olfactive,Quality,34
384,866,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,7,Oil of Dill .,Oil of Dill,Olfactive,Smell\_Source,4
385,867,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,73,"Colourless or greenish-yellow , with the odour and taste of cubebs .",of cubebs odour,Olfactive,Smell\_Source,12
386,869,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,78,Oil of Eucalyptus .,Oil of Eucalyptus,Olfactive,Smell\_Source,4
387,870,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,83,"It has an aromatic odour , and a spicy and pungent flavour , leaving a sensation of coldness in the mouth .",aromatic odour,Olfactive,Quality,22
388,872,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,9,"Colour pale yellow , odour pungent , taste hot and sweetish .",pungent odour,Olfactive,Quality,12
389,874,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,90,The oil distilled in Britain from the full-grown unripe green fruit of Juniperus communis .,the full-grown unripe green fruit of Juniperus communis,Olfactive,Smell\_Source,15
390,875,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,91,"Colourless or pale greenish-yellow , with the characteristic odour of the fruit , and a warm aromatic taste .",odour,Olfactive,Smell\_Word,19
391,876,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,98,The oil distilled in Britain from the flowers of Lavandula vera .,the flowers of Lavandula vera,Olfactive,Smell\_Source,12
392,877,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,99,"Pale yellow or nearly colourless , with the very fragrant odour of the flowers , and a hot bitter aromatic taste .",very fragrant odour,Olfactive,Quality,22
393,879,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,10,"Our small White Butterfly , belonging to one of these , has a male , according to Kirby , redolent of thyme , and with some of his exotic fraternity the scent is described by Dr .",White Butterfly of thyme redolent scent,Olfactive,Smell\_Source,37
394,881,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,11,"Muller as delicious ; but in such cases a caution , as Professor Westwood has noticed , is doubtless needful , for may not these bright beings that bathe in sunlight and vapoury distillations the livelong day , gather odour as they fly about .",delicious,Olfactive,Quality,45
395,882,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,12,"We have many moths , likewise , with raised scales on the wing-surface , but I am not aware this is the source of scent attraction .",raised scales on the wing-surface scent,Olfactive,Smell\_Source,27
396,884,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,13,"Lastly , organs of perfume are said to exist in the sub-family of the Swallow Tails along the anal margin of the hind wings of the males , which is then recurved .",organs of perfume,Olfactive,Smell\_Source,33
397,886,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,14,They are evinced by a tuft of hair with a disagreeable odour .,disagreeable a tuft of hair odour,Olfactive,Quality,13
